dataset,model,MASE,WQL
AALI,amazon/chronos-t5-small,4.754610096550779,0.03901193649043687
ANTM,amazon/chronos-t5-small,4.23335467037802,0.06506741304290171
ARTO,amazon/chronos-t5-small,3.726492726790276,0.14753521626878516
BBCA,amazon/chronos-t5-small,2.205197139709054,0.01649067502540677
EXCL,amazon/chronos-t5-small,5.074677579715742,0.09092451210060025
ISAT,amazon/chronos-t5-small,3.062020846106285,0.045617653154423614
KLBF,amazon/chronos-t5-small,2.189089987432472,0.021695170437293354
TKIM,amazon/chronos-t5-small,4.850175268277803,0.0468337316367615
TLKM,amazon/chronos-t5-small,8.60805344929511,0.11651029295449174
