dataset,model,MASE,WQL
AALI,amazon/chronos-t5-small,6.063248056440073,0.042058776988346994
ANTM,amazon/chronos-t5-small,4.3470685715709285,0.07013295745831329
ARTO,amazon/chronos-t5-small,8.993675799244194,0.3184207663368947
BBCA,amazon/chronos-t5-small,3.0711219357552157,0.02101190807039982
EXCL,amazon/chronos-t5-small,4.847920653008218,0.0785464286988013
ISAT,amazon/chronos-t5-small,3.798162535572477,0.05950946681293461
KLBF,amazon/chronos-t5-small,3.170706154853304,0.027418470650505098
TKIM,amazon/chronos-t5-small,5.962271972922856,0.061015804615318366
TLKM,amazon/chronos-t5-small,7.3907650820140045,0.09562404053476799
